,word,num1,num2,num3,num4,num5,rel1,rel2,rel3,rel4,rel5
58,circumstances,0.981,-0.993,0.0,0.934,0.969,luckiness,good_fortune,good_luck,failure,tough_luck
59,corner_grocery,0.0,0.0,0.044,-0.03,-0.025,large_supermarket,food_store,large_food_store,corner_shop,convenience_food_store
60,near_conclusion,-0.059,0.169,-0.085,0.146,0.057,understand,direction,near_end,end,begin
61,list_number,0.0,0.148,0.105,0.187,0.077,arithmetic,enumeration,numerical,addition,count
62,vice_admiral,0.688,-0.908,0.0,0.877,0.824,fleet_admiral,rear_admiral,admiral,full_admiral,flag_officer
63,locker,0.0,0.072,0.0,0.0,0.024,metal_box,cash_drawer,keyhole,clutch_bag,case
64,busyness,0.681,-0.935,0.0,0.78,0.799,behavior,state,play,agency,activeness
65,dance_around,0.02,0.071,0.0,0.069,0.053,make_face,wave_hand,dancing_in_rain,playful,studio
66,contagious_disease,-0.116,0.0,-0.153,-0.241,-0.17,disease,infectious_disease,polio,malady,sickness
67,seek_psychiatric_help,-0.073,0.0,0.0,-0.238,-0.104,prepare_go_jail,buy_weapon,find_victim,buy_gun,dangerous_weapon
68,capsaicin,-0.829,0.0,0.642,-0.72,-0.73,substance,chemical_irritant,gingerol,piperine,pepper_spray
69,wand,0.105,-0.178,0.057,0.079,0.102,cue,twig,long_stick,stick,adhere
70,wank,-0.056,0.0,-0.068,-0.042,-0.055,masturbate,jerk,jerk_off,die_only_once,fight_other
71,titanium,0.87,0.822,0.0,0.717,0.803,gold,bronze,alloy,medal,copper
72,continue_story,-0.067,-0.011,0.0,-0.064,-0.04,make_paper_airplane,write_note,story,witting,make_mark_paper
73,sky_object,-0.088,0.0,0.0,0.0,-0.029,thunder_storm,out_of_blue,blue_sky,up_high,blue_color
74,absolute,0.295,0.239,0.049,0.346,0.277,full,never_end,infinite,total,unending
75,travel,0.0,0.0,0.0,0.097,0.032,transport_person,travel_long_distance,get_plane,get_bus,get_to_another_place
76,military_retreat,-0.375,0.11,-0.218,-0.068,-0.184,retreat,downgrade,lose_battle,lose_war,retrocede
77,know_want,0.022,0.238,-0.081,0.25,0.143,dumpster_dive,search_item,make_selection,buy_diamond_ring,think_about_someone
78,krait,-0.517,0.0,0.582,-0.976,-0.692,death_adder,ophidian,serpent,elapid,taipan
79,cook_book,0.0,0.076,0.0,0.066,0.047,bookmark,cooking_class,teacher,instructions,a_lot_of_books
80,unquestionableness,0.946,-0.895,0.0,0.942,0.928,demonstrability,provability,positivity,positiveness,certainty
81,pay_off_debt,0.339,0.302,0.0,0.387,0.343,good_citizen,complement,positive_reinforcement,feel_important,good_sense_of_humor
82,political_unit,0.041,0.067,0.0,0.065,0.058,political_state,political_entity,political_division,united_country,large_state
83,butcher_paper,0.046,-0.66,0.0,0.365,0.357,gift_wrap,kraft,kraft_paper,wrapping_paper,paper
84,stimulate_mind,0.868,0.99,0.0,0.0,0.619,get_informed,expand_horizon,acculturation,appreciate_art,enjoy_story
85,outfight,0.586,-0.947,0.0,0.748,0.76,vanquish,beat,beat_out,trounce,crush
86,arrest_criminal,0.973,0.734,0.0,0.897,0.868,settle_argument,make_judgment,judge_person,go_court,tell_truth
87,use_skill,0.0,0.074,0.051,0.105,0.043,skill,talent,ability,genius,earn_money
88,eat_dinner,0.026,0.069,0.0,0.0,0.032,eat_food,eat_beef,chew_food,espresso,eat_much
89,easy_break,0.0,0.0,0.0,0.131,0.044,frustrate_person,breakable,opaque,eaten_raw,round_white
90,unipolar_depression,-0.786,0.0,0.918,-0.963,-0.889,major_depressive_episode,depression,depressive_disorder,clinical_depression,involutional_depression
91,big_rat,-0.721,0.0,-0.825,-0.841,-0.796,helpless,unwanted,rabies,small_cat,freckle
92,take_ticket,0.0,0.769,0.0,0.0,0.256,direct_play,face_music,shade_eye,give_signal,do_anything
93,provide_heat,0.101,0.0,0.0,0.0,0.034,keep_warm,keep_warm_winter,provide_warmth,keep_someone_warm,stay_warm
94,fresh_breath,0.9,0.998,0.0,0.82,0.906,good_sense_of_humor,simile,strong_relationship,express_gratitude,able_read
95,sickening,-0.062,0.128,0.707,-0.677,-0.439,sickish,turn_stomach,vile,noisome,nauseous
96,tulip,0.0,0.067,0.0,0.05,0.039,bloom,daisy,clover,rose,daffodil
97,water_resistance,0.0,0.952,0.0,0.0,0.317,tiles,hair,design,bathroom_wall,algae
98,father_son,0.793,0.0,0.0,0.845,0.546,mommy,father_child,mother_child,kinship,adopt_child
99,leisurely,-0.771,0.0,0.855,-0.576,-0.734,unhurried,easygoing,deliberate,easy,careful
100,tired_of,-0.089,0.158,0.659,-0.656,-0.415,disgustedly,revolting,disgusting,fed_up,sick_of
101,see_to_it,0.642,-0.532,0.0,0.575,0.583,check,assure,see,insure,proofread
102,activating,0.547,-0.692,0.0,0.52,0.586,vivification,invigoration,activity,animation,electrification
103,feel_depressed,-0.226,0.0,-0.187,-0.095,-0.169,great_relief,clean_up_mess,sadness,rainy_day,erection
104,take_bite,0.808,0.0,0.0,0.0,0.269,wash_first,use_tooth,buy_market,chew,put_napkin_lap
105,fit,0.867,0.0,0.0,0.88,0.582,lose_weight,stay_fit,like_exercise,shape,weight_loss
106,raggedness,-0.9,0.0,0.841,-0.731,-0.824,nubbiness,tweediness,harshness,graininess,granularity
107,fix,-0.959,0.0,0.721,-0.75,-0.81,cook_up,ready,make,cook,prepare
108,illuminance,0.637,-0.713,0.0,0.932,0.761,glow,illumination,incandescence,luminescence,brightness_level
109,bathroom_drawer,0.042,-0.056,0.0,0.0,0.033,toilet,bathroom,beauty_parlor,hotel_bathroom,bath
110,personal_belong,0.0,0.211,-0.172,0.218,0.086,ownership,own,possession,house_land,have_something
111,area_land,0.0,0.093,0.052,0.127,0.056,land_measurement,area,house_land,house_place,acreage
112,grow_vegetable,-0.026,0.073,0.025,0.054,0.025,make_food,make_bread,follow_recipe,cook_curry,cook_meal
113,corridor,0.0,0.0,0.0,0.085,0.028,use_farm,gate,door,doorway,entranceway
114,songwriter,0.937,0.0,0.0,0.0,0.312,music,classical,composer,band_play,rock_band
115,deal_gently,0.76,-0.593,0.0,0.713,0.689,spare_enemy,magnanimous,generous,forgiving,spareness
116,go_for_stroll,-0.137,0.0,-0.051,0.0,-0.063,walk,find_garden,walk_down,walk_style,enter_place
117,churn_up,-0.075,0.142,0.685,-0.668,-0.429,loathsome,gross_out,sicken,nauseate,repel
118,stop_work,0.0,-0.016,0.017,-0.113,-0.038,wind_down,take_nap,sit_back_relax,nap,take_rest
119,bail_out,-0.126,0.0,0.0,-0.036,-0.054,escape,escape_situation,cancel_meeting,absent,cancel_appointment
120,biohazard_suit,0.509,-0.721,0.0,0.657,0.629,wear,protective_garment,coverall,shoulder_pad,wearable
121,machine_transportation,0.0,-0.01,0.0,0.065,0.025,big_car,large_car,long_car,car_truck,form_of_transportation
122,defecate,-0.046,0.0,-0.072,-0.097,-0.072,go_toilet,go_bathroom,go_pee,read_bedtime_story,quiet_cry_baby
123,whacking,-0.845,0.0,0.557,-0.796,-0.733,corporal_punishment,lashing,whipping,tanning,flogging
124,junk_food,-0.98,0.0,0.594,-0.988,-0.854,fast_food,deep_fried,unhealthy_food,reuse_oil,fattening_food
125,disconnection,-0.081,0.0,-0.114,0.0,-0.065,mediocrity,effect,suspicion,exclusion,pugilist
126,senior_citizen,0.956,-0.703,0.0,0.653,0.771,centenarian,nonagenarian,octogenarian,septuagenarian,sexagenarian
127,arrow,0.059,0.0,0.0,0.049,0.036,bayonet,spear,shotgun,bullet,hydrogen_bomb
128,human_mind,-0.05,0.076,-0.055,0.244,0.072,church_part,synagogue,steeple,chapel,cathedral
129,uninfluenced,-0.921,0.0,0.731,-0.852,-0.835,unimpressed,untouched,unaffected,unswayed,immune
130,burial,-0.128,0.091,-0.199,-0.104,-0.113,headstone,grave,bury_body,bury,bury_dead
131,telescope,0.0,0.087,-0.07,0.1,0.039,binoculars,read_glass,eyeglass,camera,monocle
132,drive_off,0.509,-0.642,0.0,0.942,0.698,move,displace,clear_air,fire,banish
133,water_splash,0.0,0.0,0.0,0.169,0.056,arm_movement,ocean_movement,hand_gesture,sea_movement,goodbye
134,allay,0.615,0.643,-0.247,0.29,0.434,relieve,easiness,pacifically,peaceable,repose
135,read_bible,0.0,0.843,0.0,0.867,0.57,keep_word,complete_sentence,help_another_person,think_issue,state_fact
136,ideograph,-0.866,0.0,0.619,-0.806,-0.764,character,logogram,logograph,graph,grapheme
137,smirk,0.791,0.934,0.0,0.85,0.858,simper,please,content,satisfy,gratify
138,combinatorial,-0.938,0.0,0.944,-0.922,-0.935,combinative,combinatory,consolidative,unifying,integrative
139,science_book,0.0,0.074,0.051,0.105,0.043,textbook,book,bookmark,school_book,book_magazine
140,adapt,-0.038,0.086,0.0,0.114,0.054,deduce,figure_out,arrive_conclusion,come_conclusion,come_up_new_idea
