,word,hash1,hash2,rel1,rel2,rel3,rel4,rel5
77,mango,#admirable,#joyful,green_apple,apricot,lime,peach,cherry
78,find_church,#admirable,#joyful,open,control_access,cost_a_lot_of_money,restrict_access,keep_someone_out
79,quarter,#interesting,#admirable,dime,nickel,metal_money,coin,penny_dime
80,end_live,#sad,#scared,get_rid_of_enemy,hurt_others,murder,self_defense,death_destruction
81,receipt,#interesting,#admirable,invoice,bill,check,mastercard,payment_counter
82,seriously,#sad,#scared,devout,earnestness,earnestly,seriousness,in_earnest
83,hairdresser,#joyful,#admirable,hair,haircut,hairdresser_chair,scissor,hairstyle
84,two_parts,#interesting,#joyful,double,single,two_lines,split,enumeration
85,quibble,#scared,#disgusting,niggle,quiddity,bicker,pettifog,cavil
86,enjoy_entertainment,#surprising,#joyful,waste_time,see_new_place,recommend,expand_horizon,stimulate_mind
87,erudition,#admirable,#joyful,encyclopedism,learning,scholarship,learnedness,eruditeness
88,city_area,#surprising,#admirable,govern_city,large_town,city_life,large_building,downtown
89,opposite,#sad,#disgusting,contrary,contradiction,lie,liar,bad_person
90,come_up_new_idea,#joyful,#interesting,come_conclusion,invention,resolve_problem,come_up_idea,figure_out
91,jittery,#sad,#scared,high-strung,uptight,restive,overstrung,nervy
92,buy_goods_service,#joyful,#interesting,go_cashless,pay_goods,incur_debt,postpone_payment,buy_item
93,morose,#scared,#disgusting,moody,dour,glum,dark,glowering
94,see_countryside,#joyful,#interesting,sightsee,camera,electronics_device,charge_battery,go_to_another_place
95,box_ring,#scared,#disgusting,convention,prisoner_war_camp,rave,gift_shop,dark_alley
96,curt,#disgusting,#angry,discourteous,brusque,brusk,abrupt,unceremonious
97,line_up,#interesting,#joyful,find_end_line,come_early,find_line,take_number,wait_patiently
98,abject,#sad,#disgusting,resignedly,unhopeful,abjectly,resignation,reconcile
99,defeatism,#sad,#angry,disappointed,thwarted,frustrated,foiled,discomfited
100,atomic_bomb,#scared,#disgusting,pistol,gun,hydrogen_bomb,handgun,revolver
101,cobol,#surprising,#admirable,helpful_tool,woodworking_tool,helpful,type_of_fruit,hand_tool
102,limping,#sad,#disgusting,gimpiness,lameness,claudication,gimp,gameness
103,debilitating,#sad,#disgusting,draining,exhausting,debilitative,enervating,enfeebling
104,mercilessness,#sad,#disgusting,unkind,ruthlessness,cruelly,pitilessness,unassertively
105,advertisement,#joyful,#interesting,marketing,sales,announcement,billboard,promotion
106,math_book,#interesting,#admirable,architect_office,science_lab,math_class,band_room,bluegrass_band
107,dimension,#interesting,#admirable,width,size,mass_measure,measure,gauge
108,storage_item,#interesting,#joyful,gay_person,bikini,jeans,pair_of_pants,dirty_magazine
109,disconcert,#sad,#disgusting,chagrined,abashed,chagrin,abash,embarrassingly
110,grounded,#scared,#disgusting,anchor,base,establish,strand,undercoat
111,sensational,#admirable,#surprising,scandalmongering,sensationalistic,sensationally,inflame,fire_up
112,shutter,#sad,#scared,block,obstruct,close,clogged,occluded
113,spread_happiness,#joyful,#admirable,get_happy,comedian,pleasure,give_pleasure,feel_different
114,demeaning,#sad,#angry,humbling,humbleness,humiliating,demeaningly,humiliatingly
115,sore_leg,#interesting,#joyful,breaheavily,heavy_breathe,get_exhausted,exhaustion,see_neighbor
116,play_tape,#surprising,#joyful,pop_popcorn,turn_off,drink_soda,scrub_floor,pop_up
117,shuffle_card_machine,#joyful,#interesting,win,play_game,play_card,shuffle_card,start_card_game
118,receive_gift,#surprising,#joyful,surprise_friend,act_foolish,blow_out_candle,tear_paper,say_love
119,ineffable,#scared,#disgusting,untellable,unspeakable,indescribable,indefinable,unutterable
120,bubbly,#joyful,#interesting,clean_agent,foam,lather,wash_self,cleanser
121,red_white_blue,#interesting,#admirable,blue_green,star_stripe,hue,hue_tint,purple
122,feel_awe,#surprising,#joyful,feel_amazed,astonished,wonder,perplex,marvel
123,watch_parade,#admirable,#joyful,enjoy_music,clear_mind_bad_thought,listen_pleasure,hear_live_music,get_entertain
124,pull,#interesting,#admirable,tug,carry_object,tow,extend,drag
125,freely_available,#joyful,#admirable,available,public,population,crowd,majority
126,gratuitous,#disgusting,#angry,costless,complimentary,needless,gratis,free
127,wave_arm,#interesting,#admirable,greet,salute,greet_each_other,say_goodbye_to,attract_attention
128,sympathetically,#interesting,#admirable,empathetically,empathic,empathetic,kind-heartedness,kindheartedness
129,beware,#scared,#disgusting,watch_out,keep_one_eyes_peeled,keep_one_eyes_skinned,keep_one_eyes_open,aware
130,encourage,#interesting,#admirable,grateful,exuberance,enthusiasm,thankful,joyful
131,family_member,#interesting,#joyful,relative,familial_relationship,sibling,mother_brother,female_relative
132,no_sun,#scared,#disgusting,block_sunlight,dark_area,cover_window,no_light,block_road
133,overstrung,#scared,#sad,high-strung,uptight,restive,nervy,jumpy
134,clock,#angry,#disgusting,watch,stopwatch,timepiece,wristwatch,find_pawnshop
135,round_orb,#interesting,#admirable,spherical,three_dimensions,round,seen_night_sky,fill_with_sand
136,adhesive_bandage,#sad,#disgusting,bandage,painkiller,gauze,aspirin,contraceptive_device
